Stock,Year,ROE,DebtEquity
RELIANCE.NS,2021,7.01,0.32
RELIANCE.NS,2022,7.78,0.34
RELIANCE.NS,2023,9.31,0.44
RELIANCE.NS,2024,8.77,0.41
RELIANCE.NS,2025,8.25,0.41
INFY.NS,2021,25.34,0
INFY.NS,2022,29.34,0
INFY.NS,2023,31.95,0
INFY.NS,2024,29.77,0
INFY.NS,2025,27.87,0
M&M.NS,2021,4.35,1.43
M&M.NS,2022,13.95,1.58
M&M.NS,2023,18.24,1.57
M&M.NS,2024,17.02,1.56
M&M.NS,2025,16.78,1.57
HDFCBANK.NS,2021,15.17,18.79
HDFCBANK.NS,2022,15.38,18.9
HDFCBANK.NS,2023,15.89,19.26
HDFCBANK.NS,2024,14.03,18.8
HDFCBANK.NS,2025,13.56,19.55
BHARTIARTL.NS,2021,-25.58,2.2
BHARTIARTL.NS,2022,6.39,2
BHARTIARTL.NS,2023,9.19,1.82
BHARTIARTL.NS,2024,7.39,1.5
BHARTIARTL.NS,2025,25.58,1.13
HINDUNILVR.NS,2021,16.77,0
HINDUNILVR.NS,2022,18.09,0
HINDUNILVR.NS,2023,20.11,0
HINDUNILVR.NS,2024,20.06,0
HINDUNILVR.NS,2025,21.55,0